"species","X","Y"
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",151.983333,-25.083333
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",116.183333,-28.316667
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",150.516667,-23.366667
"Phoracantha recurva",149.116669,-35.366661
"Phoracantha recurva",151.666702,-30.51667
"Phoracantha recurva",121.466667,-30.75
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",133.8833,-21.56667
"Phoracantha recurva",151.933333,-28.666667
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",133.866699,-23.633329
"Phoracantha recurva",149.166672,-35.26667
"Phoracantha recurva",138.75,-33.033329
"Phoracantha recurva",140.5,-20.75
"Phoracantha recurva",142.1667,-34.18333
"Phoracantha recurva",149.133331,-35.349998
"Phoracantha recurva",116.15,-31.85
"Phoracantha recurva",150.183334,-35.633331
"Phoracantha recurva",151.933333,-28.666667
"Phoracantha recurva",150.166672,-30.26667
"Phoracantha recurva",133.45,-23.71667
"Phoracantha recurva",150.316666,-35.616669
"Phoracantha recurva",135.899994,-33.5
"Phoracantha recurva",145.066667,-17.416667
"Phoracantha recurva",141.8,-36.366667
"Phoracantha recurva",141.833333,-37.666667
"Phoracantha recurva",140.75,-34.166667
"Phoracantha recurva",146.816666,-19.26667
"Phoracantha recurva",149.13,-35.23
"Phoracantha recurva",150.3,-35.5
"Phoracantha recurva",152.350006,-24.866671
"Phoracantha recurva",124.2167,-18.08333
"Phoracantha recurva",132.833328,-12.86667
"Phoracantha recurva",145.883331,-32.849998
"Phoracantha recurva",138.4,-30.71667
"Phoracantha recurva",118.7,-33.53333
"Phoracantha recurva",151.116667,-25.366667
