"species","X","Y"
"Eucalyptus camaldulensis",142.35605,-37.70546
"Eucalyptus camaldulensis",142.40139,-37.315
"Eucalyptus camaldulensis",143.42702,-37.72759
"Eucalyptus camaldulensis",144.68566,-36.32051
"Eucalyptus camaldulensis",142.1714,-37.2492
"Eucalyptus camaldulensis",143.6638,-35.731
"Eucalyptus camaldulensis",141.06767,-36.972
"Eucalyptus camaldulensis",141.32667,-33.97361
"Eucalyptus camaldulensis",145.01485,-37.79077
"Eucalyptus camaldulensis",143.39829,-37.73901
"Eucalyptus camaldulensis",142.38528,-35.72306
"Eucalyptus camaldulensis",144.04192,-38.01166
"Eucalyptus camaldulensis",144.94803,-37.5832
"Eucalyptus camaldulensis",144.30139,-38.15083
"Eucalyptus camaldulensis",144.93222,-37.71306
"Eucalyptus camaldulensis",142.37352,-34.70081
"Eucalyptus camaldulensis",141.19754,-36.66726
"Eucalyptus camaldulensis",142.24299,-37.56018
"Eucalyptus camaldulensis",141.75556,-36.77194
"Eucalyptus camaldulensis",142.03289,-37.52761
"Eucalyptus camaldulensis",141.92361,-36.12889
"Eucalyptus camaldulensis",141.57482,-37.16889
"Eucalyptus camaldulensis",144.95143,-37.57922
"Eucalyptus camaldulensis",145.09472,-37.88806
"Eucalyptus camaldulensis",141.36074,-34.1261
"Eucalyptus camaldulensis",143.38148,-37.75407
"Eucalyptus camaldulensis",141.7728,-34.1117
"Eucalyptus camaldulensis",141.83528,-37.04139
"Eucalyptus camaldulensis",144.97278,-37.69278
"Eucalyptus camaldulensis",141.33457,-37.25404
"Eucalyptus camaldulensis",145.54841,-36.54454
"Eucalyptus camaldulensis",145.3251,-36.9538
"Eucalyptus camaldulensis",142.3571,-34.76492
"Eucalyptus camaldulensis",145.13933,-38.19708
"Eucalyptus camaldulensis",145.1296,-37.80675
"Eucalyptus camaldulensis",143.4077,-37.7202
"Eucalyptus camaldulensis",141.82785,-34.1375
"Eucalyptus camaldulensis",145.21781,-38.10671
"Eucalyptus camaldulensis",142.37473,-37.44549
"Eucalyptus camaldulensis",141.28482,-34.11219
"Eucalyptus camaldulensis",144.15788,-38.0329
"Eucalyptus camaldulensis",141.7561,-37.5141
"Eucalyptus camaldulensis",141.27291,-37.03932
"Eucalyptus camaldulensis",144.21806,-37.065
"Eucalyptus camaldulensis",141.7015,-37.5622
"Eucalyptus camaldulensis",141.00887,-36.81947
"Eucalyptus camaldulensis",144.9575,-35.96056
"Eucalyptus camaldulensis",146.95204,-36.12183
"Eucalyptus camaldulensis",144.95667,-37.70139
"Eucalyptus camaldulensis",141.23043,-37.37155
"Eucalyptus camaldulensis",141.78472,-36.6675
"Eucalyptus camaldulensis",141.81274,-34.12571
"Eucalyptus camaldulensis",145.03167,-37.97556
"Eucalyptus camaldulensis",145.4877,-36.67913
"Eucalyptus camaldulensis",144.92733,-37.71532
"Eucalyptus camaldulensis",140.96952,-36.83484
"Eucalyptus camaldulensis",142.88667,-37.19194
"Eucalyptus camaldulensis",142.25958,-37.58721
"Eucalyptus camaldulensis",145.14375,-36.92318
"Eucalyptus camaldulensis",143.32258,-36.99523
