"species","decimalLatitude","decimalLongitude"
"Eucalyptus saligna",-32.156996,151.524952
"Eucalyptus saligna",-32.144728,151.241019
"Eucalyptus saligna",-33.744247,151.041633
"Eucalyptus saligna",-31.357309,151.810479
"Eucalyptus saligna",-31.404581,152.075384
"Eucalyptus saligna",-31.586462,152.439215
"Eucalyptus saligna",-31.682201,152.359811
"Eucalyptus saligna",-31.761127,150.088909
"Eucalyptus saligna",-33.344388,151.365325
"Eucalyptus saligna",-31.257361,152.697444
"Eucalyptus saligna",-32.93563,151.691831
"Eucalyptus saligna",-30.123614,152.740509
"Eucalyptus saligna",-31.104455,152.236578
"Eucalyptus saligna",-31.225326,151.881773
"Eucalyptus saligna",-33.712314,150.915155
"Eucalyptus saligna",-25.043525,148.204225
"Eucalyptus saligna",-35.02653,150.567738
"Eucalyptus saligna",-36.089129,150.111465
"Eucalyptus saligna",-29.529142,152.302745
"Eucalyptus saligna",-30.5,152.45
"Eucalyptus saligna",-32.560988,152.284136
"Eucalyptus saligna",-28.794297,152.186553
"Eucalyptus saligna",-28.266756,152.456908
"Eucalyptus saligna",-28.236111,153.376111
"Eucalyptus saligna",-28.26247,153.135006
"Eucalyptus saligna",-28.224666,152.427286
"Eucalyptus saligna",-28.156734,153.276068
"Eucalyptus saligna",-33.709194,151.074569
"Eucalyptus saligna",-29.716323,152.073685
"Eucalyptus saligna",-31.532167,152.454649
"Eucalyptus saligna",-33.738221,151.156265
"Eucalyptus saligna",-30.446451,152.920953
"Eucalyptus saligna",-33.708177,151.076955
"Eucalyptus saligna",-32.246746,152.167259
"Eucalyptus saligna",-30.686062,152.250835
"Eucalyptus saligna",-32.180623,151.81883
"Eucalyptus saligna",-29.92021,152.691365
"Eucalyptus saligna",-30.874039,152.208138
"Eucalyptus saligna",-30.617462,152.164092
"Eucalyptus saligna",-33.746359,151.039512
"Eucalyptus saligna",-34.64589,150.29112
"Eucalyptus saligna",-33.777758,150.863885
"Eucalyptus saligna",-33.690033,150.966032
"Eucalyptus saligna",-30.874503,152.214455
"Eucalyptus saligna",-33.708831,151.075548
"Eucalyptus saligna",-28.449513,153.063828
"Eucalyptus saligna",-33.7782,151.04311
"Eucalyptus saligna",-32.342494,152.521809
"Eucalyptus saligna",-30.825571,152.268551
"Eucalyptus saligna",-30.25398,153.006663
"Eucalyptus saligna",-28.343111,152.958209
"Eucalyptus saligna",-31.125472,152.217583
"Eucalyptus saligna",-28.485005,153.277934
"Eucalyptus saligna",-31.749751,152.209269
"Eucalyptus saligna",-31.421905,151.875513
"Eucalyptus saligna",-32.31451,152.264106
"Eucalyptus saligna",-33.811741,151.089763
"Eucalyptus saligna",-30.39102,152.747084
"Eucalyptus saligna",-31.667112,152.419267
"Eucalyptus saligna",-32.944871,151.522994
"Eucalyptus saligna",-32.171134,151.661072
"Eucalyptus saligna",-29.889904,152.152863
"Eucalyptus saligna",-31.406946,151.81627
"Eucalyptus saligna",-29.509302,152.516133
"Eucalyptus saligna",-31.638295,152.360259
"Eucalyptus saligna",-29.2591,152.122092
"Eucalyptus saligna",-30.446157,152.921769
"Eucalyptus saligna",-33.723022,151.121531
"Eucalyptus saligna",-33.661715,150.99611
"Eucalyptus saligna",-31.808375,151.55264
"Eucalyptus saligna",-30.102265,152.321783
"Eucalyptus saligna",-33.141628,151.257143
"Eucalyptus saligna",-32.255126,151.310091
"Eucalyptus saligna",-31.303771,152.536619
"Eucalyptus saligna",-33.595355,150.942235
"Eucalyptus saligna",-33.717018,151.126404
"Eucalyptus saligna",-33.0919,151.404923
"Eucalyptus saligna",-36.692745,149.844115
"Eucalyptus saligna",-32.222025,151.738447
"Eucalyptus saligna",-33.815278,151.113611
"Eucalyptus saligna",-31.652329,152.382481
"Eucalyptus saligna",-31.49166,152.222472
"Eucalyptus saligna",-33.635078,151.031429
"Eucalyptus saligna",-32.305162,152.14282
"Eucalyptus saligna",-28.486224,152.400832
"Eucalyptus saligna",-31.624739,151.759019
"Eucalyptus saligna",-35.051504,150.578326
"Eucalyptus saligna",-31.687062,151.592555
"Eucalyptus saligna",-33.235775,151.436513
"Eucalyptus saligna",-28.388031,152.755065
"Eucalyptus saligna",-32.79605,150.60228
"Eucalyptus saligna",-31.05872,152.315613
"Eucalyptus saligna",-30.764844,152.595649
"Eucalyptus saligna",-33.71957,151.173943
"Eucalyptus saligna",-31.114439,152.223819
"Eucalyptus saligna",-33.800168,151.083866
"Eucalyptus saligna",-33.426765,150.815786
"Eucalyptus saligna",-31.2421,152.4609
"Eucalyptus saligna",-31.337373,152.141213
"Eucalyptus saligna",-28.919839,153.263339
"Eucalyptus saligna",-31.757359,152.427257
"Eucalyptus saligna",-32.241521,151.73372
"Eucalyptus saligna",-33.709131,151.07456
"Eucalyptus saligna",-33.710105,151.073977
"Eucalyptus saligna",-29.838541,152.131042
"Eucalyptus saligna",-31.042538,152.530555
"Eucalyptus saligna",-29.738204,152.124908
"Eucalyptus saligna",-30.11764,152.690699
"Eucalyptus saligna",-34.78442,150.403349
"Eucalyptus saligna",-30.4643,152.9046
"Eucalyptus saligna",-33.728967,151.120663
"Eucalyptus saligna",-33.653315,151.057274
"Eucalyptus saligna",-33.304606,151.404676
"Eucalyptus saligna",-33.71441,151.136394
"Eucalyptus saligna",-31.499426,151.595767
"Eucalyptus saligna",-31.596305,152.362323
"Eucalyptus saligna",-34.917522,150.387999
"Eucalyptus saligna",-33.313891,151.398117
"Eucalyptus saligna",-33.779924,151.121487
"Eucalyptus saligna",-30.159625,152.699914
"Eucalyptus saligna",-31.556088,152.415942
"Eucalyptus saligna",-30.440969,152.917989
"Eucalyptus saligna",-33.808237,151.036598
"Eucalyptus saligna",-33.063813,150.960558
